"Timestamp";"CPU cores";"CPU capacity provisioned [MHZ]";"CPU usage [MHZ]";"CPU usage [%]";"Memory capacity provisioned [KB]";"Memory usage [KB]";"Memory usage [%]";"Disk read throughput [KB/s]";"Disk write throughput [KB/s]";"Disk size [GB]";"Network received throughput [KB/s]";"Network transmitted throughput [KB/s]"
"05.11.2015 15:05:00";"2";"0";"72";"1,58";"8388608";"826278";"9,85";"0";"7";"64";"5";"5"
"05.11.2015 15:10:00";"2";"0";"71";"1,57";"8388608";"848927";"10,12";"0";"7";"64";"5";"5"
"05.11.2015 15:15:00";"2";"0";"69";"1,52";"8388608";"1044382";"12,45";"0";"7";"64";"5";"5"
"05.11.2015 15:20:00";"2";"0";"73";"1,59";"8388608";"994050";"11,85";"0";"8";"64";"5";"5"
"05.11.2015 15:25:00";"2";"0";"82";"1,8";"8388608";"1178599";"14,05";"0";"8";"64";"5";"5"
"05.11.2015 15:30:00";"2";"0";"71";"1,56";"8388608";"1312817";"15,65";"0";"8";"64";"6";"6"
"05.11.2015 15:35:00";"2";"0";"74";"1,61";"8388608";"1291007";"15,39";"0";"8";"64";"5";"5"
"05.11.2015 15:40:00";"2";"0";"71";"1,55";"8388608";"1100585";"13,12";"0";"8";"64";"5";"5"
"05.11.2015 15:45:00";"2";"0";"69";"1,52";"8388608";"1005794";"11,99";"0";"8";"64";"5";"5"
"05.11.2015 15:50:00";"2";"0";"72";"1,59";"8388608";"754136";"8,99";"0";"8";"64";"5";"5"
"05.11.2015 15:55:00";"2";"0";"71";"1,57";"8388608";"999922";"11,92";"0";"8";"64";"5";"5"
"05.11.2015 16:00:00";"2";"0";"71";"1,55";"8388608";"1027604";"12,25";"0";"8";"64";"5";"5"
"05.11.2015 16:05:00";"2";"0";"74";"1,62";"8388608";"1178599";"14,05";"0";"9";"64";"5";"5"
"05.11.2015 16:10:00";"2";"0";"72";"1,58";"8388608";"1134140";"13,52";"0";"8";"64";"5";"5"
"05.11.2015 16:15:00";"2";"0";"71";"1,57";"8388608";"848927";"10,12";"0";"8";"64";"6";"6"
"05.11.2015 16:20:00";"2";"0";"72";"1,57";"8388608";"1005794";"11,99";"0";"9";"64";"5";"5"
"05.11.2015 16:25:00";"2";"0";"82";"1,8";"8388608";"1184471";"14,12";"0";"8";"64";"5";"5"
"05.11.2015 16:30:00";"2";"0";"70";"1,54";"8388608";"1341338";"15,99";"0";"8";"64";"5";"5"
"05.11.2015 16:35:00";"2";"0";"75";"1,65";"8388608";"1089680";"12,99";"0";"8";"64";"5";"5"
"05.11.2015 16:40:00";"2";"0";"73";"1,6";"8388608";"1039349";"12,39";"0";"9";"64";"5";"5"
"05.11.2015 16:45:00";"2";"0";"71";"1,56";"8388608";"1089680";"12,99";"0";"9";"64";"5";"5"
"05.11.2015 16:50:00";"2";"0";"73";"1,6";"8388608";"989017";"11,79";"0";"8";"64";"5";"5"
